,Accident_Time,Accident_Date_G,Rno,Road_Type,Region,Road_Status,Weather_Status,Dead_Number,Injuries_Number,Damage_Road_Type,Accident_Type,Car,Small_Truck,Big_Truck,Other_Car,Driver,Way,Vehicle,Animal,Vehicles_Number,Paints,Eyes,Road_Close_Days,Road_Close_Hours,GEOMETRIC_RoadTYPE,long,lat
0,5:00 AM,16/04/2019,425,سريع مع خدمة,Qassim,Good,good,0,1,,coup,1,,,,1,,,,1,1,1,,,Straight link,43.99909348,26.42674562
1,12:15 PM,16/04/2019,414,مزدوج,Qassim,Good,good,0,1,,crush from behind,1,1,,,1,,,,2,1,1,,,Straight link,43.78687749,26.0575956
2,8:30 AM,15/04/2019,419,مزدوج,Qassim,Good,good,0,0,,crush from behind,1,,,,1,,,,2,1,1,,,Straight link,43.77270089,26.34514584
3,8:30 PM,15/04/2019,60,سريع مع خدمة,Qassim,Good,good,0,0,,crash,1,,,,1,,,,2,1,1,,,Straight link,43.9379963,26.20570195
4,12:10 AM,14/04/2019,393,,Hail,Good,good,,,,crush from behind,1,,,,1,,,,2,1,1,,,Straight link,41.7020228,27.55515729
5,5:30 AM,14/04/2019,425,سريع مع خدمة,Qassim,Good,good,0,0,,crush from behind,1,,,,1,,,,2,1,1,,,Straight link,43.89262772,26.39223987
6,11:45 AM,14/04/2019,70,,Hail,Good,good,,,metal barriers,deflection,,1,,,1,,,,1,1,1,,,Straight link,41.45930588,27.33519811
7,2:30 PM,14/04/2019,8700,,Hail,Good,good,,,metal barriers,crush with a stationary body on the road,,1,,,,,1,,1,1,1,,,Straight link,41.79009179,27.71343313
8,4:50 PM,14/04/2019,8010,مفرد,Madina,Cracks and fossils,good,,1,,crash,1,,,,1,,,,2,1,1,,0.25,Straight link,40.80834078,23.4540743
9,10:30 PM,14/04/2019,418,مزدوج,Qassim,Good,good,0,1,,crash,1,,,,1,,,,2,1,1,,,4-Leg intersection,,
10,3:00 AM,13/04/2019,6166,مفرد,Qassim,Good,good,0,0,,coup,1,,,,1,,,,1,1,1,,,Straight link,,
11,3:00 AM,13/04/2019,7345,مفرد,Qassim,Good,good,0,1,,crash,1,,,,1,,,,2,1,1,,,Straight link,43.8317673,26.50468927
12,3:30 AM,13/04/2019,60,سريع,Madina,Good,good,,1,,coup,,,1,,1,,,,1,1,1,,,Straight link,41.37444641,25.2449598
13,6:00 AM,13/04/2019,6280,مفرد,Qassim,Good,good,0,0,metal barriers,deflection,1,,,,1,,,,1,1,1,,,Straight link,,
14,6:25 AM,13/04/2019,8010,مفرد,Madina,Good,good,1,,,coup,,1,,,,,1,,1,1,1,,,Straight link,40.66087698,23.416139
15,7:10 AM,13/04/2019,8700,مفرد,Hail,Good,good,,,informative board,crush with a stationary body on the road,,1,,,1,,,,1,1,1,,,Straight link,41.76917334,27.68250522
16,11:00 AM,13/04/2019,60,سريع,Madina,Good,good,,,,crash,,1,,,,1,,,1,1,1,,,Straight link,40.17630704,24.63693331
17,12:30 PM,13/04/2019,8700,,Hail,Good,good,,2,,coup,1,,,,,,1,,1,1,1,,,Straight link,41.92743526,27.85541869
18,1:20 PM,13/04/2019,8200,,Hail,Good,good,,,,coup,,,1,,,,1,,1,1,1,,,Straight link,,
19,3:00 PM,13/04/2019,425,سريع مع خدمة,Qassim,Good,good,0,0,fence,coup,1,,,,1,,,,1,1,1,,,Straight link,43.95902187,26.42569207
20,6:50 PM,13/04/2019,60,سريع,Madina,Good,good,,,,crash,1,,,,,,1,,1,1,1,,,Straight link,,
